Assignee,verdict,statement_originator,statement,questions to verify the statement,statement_date,context,factchecker,factcheck_date,factcheck_analysis_link,Gold Label,Reasoning
,MOSTLY TRUE,Kamala Harris,Donald Trump “took away protections against discrimination for LGBTQ patients under the Affordable Care Act.”,,2024-07-20,,PolitiFact,,https://www.politifact.com/factchecks/2024/sep/09/kamala-harris/mostly-true-trump-admin-reversed-lgbtq-protections/,,"With weeks to go until Americans start casting 2024 presidential election ballots, Democratic Vice President Kamala Harris wants voters to be clear about where she and former President Donald Trump diverge on LGBTQ+ rights. ""If Donald Trump wins in November, he will once again implement policies that target the LGBTQ community,"" Harris said in a video she shared Aug. 11 on X. ""Just look at what he did his first term in office. He took away protections against discrimination for LGBTQ patients under the Affordable Care Act."" Harris made the comments during a July 20 fundraiser in Provincetown, Massachusetts, a day before President Joe Biden withdrew from the presidential race and endorsed her for president. Harris’ claim is largely accurate. Under the Trump administration, the Department of Health and Human Services finalized a rule that removed several LGBTQ+ discrimination protections that the Obama administration had instituted. When we contacted the Harris campaign for evidence, a spokesperson pointed us to this rule change. A Trump campaign spokesperson said Harris’ claim was a ""lie"" but provided no evidence. The rule, which outlined how the administration would interpret Section 1557, the Affordable Care Act’s anti-discrimination clause, removed measures prohibiting gender identity discrimination and eliminated broader protections for transgender people seeking health care coverage. Sign up for PolitiFact texts But legal challenges complicate the story. Courts paused enforcement of both the Obama and Trump rules soon after they were finalized, so how Trump’s rollback affected LGBTQ+ patients who faced discrimination is uncertain. Trump administration removed several Obama-era LGBTQ+ discrimination protections Section 1557 of the 2010 Affordable Care Act prohibits discrimination based on race, color, national origin, disability, age and sex in federally funded health programs and activities. Obama’s Department of Health and Human Services didn’t finalize its regulations for how to apply this portion of the ACA until May 2016, at the end of Obama’s second term and months before the presidential election. The final guidance included several provisions that aimed to protect transgender patients from discrimination in health care and insurance coverage. Trump’s Department of Health and Human Services in 2020 finalized its own regulations, removing several of the Obama administration-issued protections. KFF, a nonpartisan health policy research center broke down some of the most most substantive changes: Whereas the Obama-era regulations’ definition of ""sex discrimination"" included discrimination based on gender identity and sex stereotyping, Trump-era regulations removed the entire sex discrimination definition. The Trump change noted that ""the final rule reverts to, and relies upon, the plain meaning of the term (sex)]"" which it described as the ""biological binary of male and female that human beings share with other mammals."" Obama-era regulations required that ACA-covered entities ""provide individuals equal access to its health programs or activities without discrimination on the basis of sex"" and ""treat individuals consistent with their gender identity."" Trump-era regulations removed both these provisions. Obama-era regulations prohibited health insurers from categorially excluding coverage of gender-affirming care. They also included more general prohibitions on discrimination in insurance coverage based on sex or gender identity. Trump-era regulations removed these provisions. Beyond Section 1557, the Trump-era rule removed sexual orientation and gender identity discrimination protections from other Affordable Care Act provisions related to state Medicaid programs and the marketplaces on which people can buy insurance through the ACA. The Biden administration in April 2024 reinstated much of what the Obama administration instituted in 2016 and added protections for sexual orientation. The legal wrestling over Section 1557 regulations Although regulations the Trump administration issued undid Obama-era LGBTQ+ discrimination protections in the ACA, a tangled legal landscape means the ability to enforce these anti-discrimination provisions isn’t clear. After seeking public comment about health care discrimination in 2013, and proposing a rule in 2015, Obama-era regulations, including LGBTQ+ protections, took effect in July 2016. But a lawsuit brought by a group of religiously affiliated health care providers and states meant that, by December 2016, key LGBTQ+ protections were put on hold as the court weighed the matter. A Texas federal judge issued a preliminary injunction in Franciscan Alliance v. Burwell, pausing the enforcement of the regulations’ sections on ""gender identity"" and ""termination of pregnancy."" The injunction didn’t affect the provision on sex stereotyping. When the Obama administration included sex stereotyping in the 2016 rule, it said the provision could offer protections against sexual orientation discrimination. But, because of the injunction, it’s unclear how well the Obama-era rule could protect against LGBTQ+ discrimination. Once Trump took office, his administration did not challenge the Franciscan Alliance injunction in court. The Trump administration finalized its own rule rolling back LGBTQ+ protections in 2020, citing the 2019 Franciscan Alliance case ruling as affirmation for the move. But the Trump administration’s rule also drew legal challenges. Days before the Trump administration announced its new regulations, the U.S. Supreme Court issued a landmark ruling. Weighing cases in which employees said they were fired for being gay or transgender, the Supreme Court ruled in Bostock v. Clayton County that firing people for their sexual orientation or gender identity amounts to ""sex discrimination,"" which is prohibited under Title VII of the 1964 Civil Rights Act. Despite the ruling, the Trump administration issued its final regulations four days later removing LGBTQ+ protections and adopting a narrower understanding of ""sex discrimination."" Two transgender patients in New York sued to stop the new Trump-era rule. As a result, a federal judge issued a nationwide injunction a day before the rule was to take effect. Once Biden took office, the Department of Health and Human Services said it would use a broader, LGBTQ+ inclusive interpretation of sex discrimination, given the Bostock ruling. This position was codified in a new rule, which was challenged in court and paused. Our ruling Harris said that Trump, ""took away protections against discrimination for LGBTQ patients under the Affordable Care Act."" The Trump administration rolled back numerous Obama-era protections against LGBTQ+ discrimination in health care and insurance coverage under the Affordable Care Act. But because legal challenges hampered enforcement of both the Obama- and Trump-era rules, it’s hard to say how the Trump administration’s action affected LGBTQ+ patients. The statement is accurate but needs clarification or additional information. We rate it Mostly True."
,MOSTLY TRUE,Pete Buttigieg,"“Even before the pandemic, America went into a manufacturing recession.”",,2024-07-28,,PolitiFact,,https://www.politifact.com/factchecks/2024/jul/31/pete-buttigieg/was-us-manufacturing-in-recession-before-the-pande/,,"Transportation Secretary Pete Buttigieg, a leading surrogate for the Biden-Harris administration, attracted notice when he sat for an interview with Fox News, which typically draws audiences that support former President Donald Trump. In his July 28 interview on ""Fox News Sunday,"" Buttigieg, who’s been floated as a possible vice presidential pick for Vice President Kamala Harris, the presumptive Democratic presidential nominee, took on Trump’s record in office. He criticized Trump's broken promises on economic growth and on delivering an infrastructure bill. An example, Buttigieg said, was that ""before the pandemic, America went into a manufacturing recession, which really hurt places like where I come from in the industrial Midwest. He broke his promise for that kind of economic growth."" Several economists agreed that there’s evidence to support what Buttigieg said. ""There’s some truth to that,"" said Douglas Holtz-Eakin, president of the center-right American Action Forum. The Transportation Department did not respond to an inquiry for this article. Sign up for PolitiFact texts Data on the manufacturing sector There’s a clear definition of a ""recession"" for the entire economy: A committee of economists with the nonprofit National Bureau of Economic Research decides, retroactively, when the U.S. economy entered and exited a recession, using a range of economic metrics. By contrast, defining a ""recession"" for one sector, such as manufacturing, is murkier. Because there’s no official arbiter, someone can use one of several metrics, particularly employment level and output in goods. Looking at employment levels within manufacturing, the number of workers rose modestly, by about 3.3% during Trump’s presidency before the pandemic. However, a closer look shows that in 2019, manufacturing employment flatlined, then fell slightly by the pandemic’s eve in March 2020. The second useful metric is the production of manufactured goods — and the recessionary trend line is even clearer here. For that measure, we consulted federal Bureau of Labor Statistics data for inflation-adjusted output for all manufacturing workers. This statistic, calculated quarterly, compares how much higher or lower output was in a given quarter compared with the same quarter in the previous year. By this metric, manufacturing output reached an 11-year peak in 2018’s third quarter, which came during Trump’s presidency. There was growth in the next quarter, but it slowed. Then, in 2019’s first quarter, the year-over-year change turned negative, partly because of a trade war with China, and it remained negative in each of the four succeeding quarters. In other words, manufacturing output was declining for more than a year — then the pandemic hit. A similar statistic — the industrial production index, calculated by the Federal Reserve — mirrored this pattern. This monthly statistic fell by about 2.4% from August 2018 to February 2020. Collectively, these metrics show that ""there was weakening in terms of industrial output,"" said Tara Sinclair, a George Washington University economist. The decline was ""chump change compared with the drop that occurred in the COVID-19 recession,"" said Gary Burtless, an economist with the Brookings Institution, a Washington, D.C., think tank. Still, these metrics show that ""real output was falling even before COVID-19 infections began to soar."" Burtless added that this was known at the time. A Washington Post news report in January 2020 was headlined, ""U.S. manufacturing was in a mild recession during 2019, a sore spot for the economy."" The article cited Federal Reserve data showing U.S. factory production shrinking by 1.3% during 2019, ""the worst year for manufacturing since 2015, as the trade war, lackluster global growth and problems at airplane maker Boeing hurt America’s industrial economy."" Other news outlets, including CNN and the Los Angeles Times,.also described a recession in manufacturing around the same time, Our ruling Buttigieg said, ""Even before the pandemic, America went into a manufacturing recession."" There is no official definition for when an industrial sector enters recession, but by two common metrics — employment and output — U.S. manufacturing was tipping negative starting in early 2019, Trump’s third year in office. Although manufacturing employment rose robustly for the first two years of Trump’s term, this job growth stalled in his third year and fell slightly before the pandemic hit during his fourth year. Manufacturing output, by two separate metrics, fell modestly but consistently following its 2018 peak. The data doesn’t point to a raging recession in manufacturing, but it does provide strong evidence of a downturn. We rate Buttigieg’s statement Mostly True."
,FALSE,JD Vance,“[Kamala Harris] wants to take away your gas stoves.”,,2024-08-03,,Washington Post,,https://www.washingtonpost.com/politics/2024/08/13/trio-silly-false-claims-that-jd-vance-makes-about-kamala-harris/,,"This is false. Harris has never advocated taking away gas stoves and in fact has tweeted photos of herself cooking with a gas stove. This line appears based on a manufactured controversy from last January, when a member of the Consumer Product Safety Commission said that gas stoves were a “hidden hazard” because of their pollutants. “Any option is on the table,” the member, Richard Trumka Jr., said in an interview with Bloomberg News that was published on Jan. 9, 2023. “Products that can’t be made safe can be banned.” The CPSC is an independent agency with five commissioners, usually with three representing the party of the sitting president. Trumka has a Democratic seat and was appointed by President Joe Biden. When a firestorm erupted, Trumka tweeted the same day: “To be clear, CPSC isn’t coming for anyone’s gas stoves. Regulations apply to new products.” On Jan. 11, 2023, CPSC chair Alexander Hoehn-Saric issued a statement: “To be clear, I am not looking to ban gas stoves and the CPSC has no proceeding to do so. CPSC is researching gas emissions in stoves and exploring new ways to address health risks. CPSC also is actively engaged in strengthening voluntary safety standards for gas stoves.” In other words, the issue was quickly settled. The Biden administration never had a policy on gas stoves. And Harris never said a word about it. In fact, as we noted, she uses a gas stove — presumably with proper ventilation."
,FALSE,JD Vance,“[Kamala Harris] even wants to take away your ability to eat red meat. That’s how out there she is. That’s real. The fake news will fact-check it. They will fact-check it true. She actually said that.”,,2024-08-03,,Washington Post,,https://www.washingtonpost.com/politics/2024/08/13/trio-silly-false-claims-that-jd-vance-makes-about-kamala-harris/,,"During a 2019 climate-change forum on CNN, one participant noted that climate change had been linked to consumption of red meat and overproduction of crops. She asked Harris whether she supported changing dietary guidelines as a way to encourage people to reduce their consumption of meat. Harris gave a long answer but, in essence, she said she would support a change in the guidelines, as there had to be incentives to encourage less consumption of meat — even though she loved a cheeseburger from time to time. “As a nation we actually have to have a real priority at the highest level of government around what we eat and in terms of health eating because we have a problem in America. … The balance that we have to strike here, frankly, is about what government can and should do around creating incentives and then banning certain behaviors,” Harris said. “I mean just to be very honest with you; I love cheeseburgers from time to time. I just do. … But there has to be also what we do in terms of creating incentives that we will eat in a healthy way, that we will encourage moderation, and that we will be educated about the effects of our eating habits on our environment, and we have to do a much better job of that. And the government has to do a much better job of that.” Erin Burnett, the moderator, followed up to see if Harris would support updating the “food pyramid.” (This was a bit out of date. In 2011 the Agriculture Department replaced the food pyramid with an image called “MyPlate,” which on the USDA website can be customized to dietary needs, preferences, cultural traditions and other factors.) Harris said “yes” and added: “It is about consumer awareness, also. And again, maybe this comes from my years of being — doing the work I did as attorney general, which is, I strongly believe that the American consumer is still left without the information that you need and deserve to have about what it is that you are putting in your body or surrounding yourself with. And the health implications of those things.” In sum, Harris never said she would ban red meat or hinder the ability of people to eat meat. She even said she loved cheeseburgers. When she mentions “banning certain behaviors,” that is in the context of the government finding the right balance to motivate people to eat properly. For that reason, she supported a change in dietary guidelines. But there is no requirement for Americans to follow dietary guidelines — so people can eat as much red meat as they want."
,MOSTLY TRUE,Lindsey Graham,Minnesota Gov. Tim Walz signed “legislation giving free college … to illegal immigrants.”,,2024-08-06,,PolitiFact,,https://www.politifact.com/factchecks/2024/aug/09/lindsey-graham/gov-tim-walz-signed-law-giving-some-minnesota-stud/,,"Republican critics of Minnesota Gov. Tim Walz, the running mate of Democratic presidential nominee and Vice President Kamala Harris, have focused on his immigration policies. ""Not only did Governor Tim Walz sign legislation giving free college and free health care to illegal immigrants, but he sat on the sidelines and watched Minneapolis burn for four days straight,"" U.S. Sen. Lindsey Graham, R-S.C., wrote Aug. 6 on X. We are examining Walz’s record on health care for people in the country illegally and his response to riots after George Floyd’s May 2020 death in separate fact-checks. Here, we wanted to check whether Walz offered ""free college … to illegal immigrants. The Republican National Committee’s X account, conservative pundit Charlie Kirk and former National Intelligence Acting Director Richard Grenell made similar claims about tuition. The short story: Walz signed a scholarship program into law that covers tuition at Minnesota public colleges and universities for students who meet family income restrictions. Students in the country illegally qualify for the aid under certain conditions. Sign up for PolitiFact texts Program covers public college tuition for need-based eligible students In May 2023, Walz signed the North Star Promise Scholarship into law. The program, part of a larger higher education bill, awards tuition scholarships to eligible students whose families earn less than $80,000. Scholarship amounts will vary; the state would pay what isn’t covered by a student’s grants, financial aid and scholarships. Students eligible for the Minnesota Dream Act can apply for the scholarship. That 2013 law, which came during Democratic Gov. Mark Dayton’s administration, makes students who attended a Minnesota high school for at least three years and graduated or received a GED certificate in Minnesota eligible for certain benefits, even if they are in the country illegally. Benefits include access to in-state tuition, state financial aid and private aid to attend Minnesota public colleges and universities. The Walz-backed scholarship program begins in the 2024-25 school year, ""so as of now, no Minnesotan has received funding through the program yet,"" said Keith Hovis, communications director for Minnesota’s Office of Higher Education. To keep the scholarship, students must satisfy their college or university’s GPA standards. In the 2021-22 school year, 314 Minnesotan students received financial aid through the Minnesota Dream Act. However, not everyone who is eligible for financial aid qualifies for the scholarship program, Hovis said. In May, the Minnesota Legislature renewed the scholarship program. The original bill earmarked $117 million for the program. The second bill transferred $5 million of that money to a different college tuition grant program for certain students who went through foster care. Eligible students who are in the U.S. illegally also qualify for that grant. A Republican senator introduced an amendment to restrict the scholarship program to only students legally residing in Minnesota. But the amendment failed in a 34-33 party-line vote with Democrats in the majority. The Migration Policy Institute, a think tank, estimates that 81,000 people in the U.S. illegally live in Minnesota. The Institute of Taxation and Economic Policy, a left-leaning think tank, reported that immigrants in Minnesota illegally contributed around $222 million in state tax revenue in 2022. Our ruling Graham said Walz signed ""legislation giving free college … to illegal immigrants."" Graham’s statement is onto something, but is a touch too broad. Walz signed two higher education bills in 2023 and 2024 that covered tuition costs at Minnesota’s public colleges and universities for students whose families earn less than $80,000 annually. Students who are illegally in the U.S. can apply for this tuition aid if they have attended a Minnesota school for at least three years, graduated or received a GED certificate in Minnesota and satisfied other requirements for income and maintaining their school’s GPA standards. We rate Graham’s statement Mostly True. RELATED: Yes, Tim Walz signed a law letting immigrants illegally in Minnesota get driver’s licenses"
,HALF TRUE,Ron DeSantis,"“In 2021, Minnesotans were roughly five times more likely to move to Florida than vice versa” because they were “fleeing” the state under Democratic Gov. Tim Walz.",,2024-08-06,,PolitiFact,,https://www.politifact.com/factchecks/2024/aug/08/ron-desantis/more-minnesotans-move-to-florida-than-vice-versa-b/,,
,TRUE,Tim Walz,"JD Vance “literally wrote the foreword for [the upcoming book of Kevin Roberts] the architect of the Project 2025 agenda.""",,2024-08-06,,PolitiFact,,https://www.politifact.com/factchecks/2024/aug/14/tim-walz/jd-vance-wrote-the-foreword-for-project-2025s-kevi/,,"In his maiden speech as the Democratic Party’s vice presidential candidate, Minnesota Gov. Tim Walz attacked his Republican opponent, Sen. JD Vance of Ohio. He argued that Vance’s close ties to Project 2025 are clear. ""JD Vance literally, literally wrote the foreword for the architect of the Project 2025 agenda,"" Walz said Aug. 6 in Philadelphia, as Vice President Kamala Harris stood behind him. Walz’s description is accurate. Project 2025, led by the Heritage Foundation, a conservative think tank, is a 900-page manual published in 2023 that includes detailed policies that the next Republican presidential administration could apply. Sign up for PolitiFact texts The Trump-Vance campaign has sought to distance itself from Project 2025, which included a foreword from Heritage Foundation President Kevin D. Roberts titled ""A Promise to America."" Roberts’ forthcoming book, ""Dawn's Early Light: Taking Back Washington to Save America,"" includes a foreword by Vance, HarperCollins Publishers’ website and other marketing materials show. In leading the Heritage Foundation, Roberts has promoted Project 2025 and has been called on its leaders and architects by numerous news outlets, including The Associated Press, The New York Times, The Washington Post, Axios and PolitiFact. In his opening to Project 2025’s ""Mandate for Leadership: The Conservative Promise,"" Roberts said that ""The Heritage Foundation is facilitating this work,"" and called it ""an agenda prepared by and for conservatives who will be ready on Day One of the next Administration to save our country from the brink of disaster."" Kevin Roberts, president of The Heritage Foundation, speaks before Republican presidential candidate former President Donald Trump at the National Religious Broadcasters convention at the Gaylord Opryland Resort and Convention Center Thursday, Feb. 22, 2024, in Nashville, Tenn. (AP) When the Heritage Foundation confirmed that Project 2025 Director Paul Dans had stepped down, Roberts took over as the project’s head. Dans served in Trump’s administration in the Office of Personnel Management. Before former President Donald Trump in July selected Vance as his 2024 running mate, Vance touted his involvement in ""Dawn’s Early Light."" ""I was thrilled to write the foreword for this incredible book, which contains a bold new vision for the future of conservatism in America,"" Vance wrote in a June 19 X post. Broadside Books, a HarperCollins imprint that specializes in conservative literature, is publishing the book. At 304 pages, it ""outlines a peaceful ‘Second American Revolution’ for voters looking to shift the power back into the hands of the people,"" the publisher’s description says. ""Dawn’s Early Light"" was originally scheduled to be released in September, but has been postponed to the post-Election Day date of Nov. 12. Vance’s name is on the book’s cover, according to the publisher’s digital preview. The book’s marketing strategy has changed in recent weeks, however, following an assassination attempt against Trump, heightened pushback against Project 2025 and Vance’s selection for the Republican ticket. The New York Times reported July 31 that Broadside Books removed a downloadable advanced copy of the book that had been made available to reviewers and booksellers, removed from the front cover art that showed an image of a burned out match and swapped out its original subtitle, ""Burning Down Washington to Save America,"" for ""Taking Back Washington to Save America."" In an Aug. 11 interview with CNN’s Dana Bash, Vance tempered his connection to Project 2025 and called Roberts a friend — a word Roberts has also used to describe Vance. ""Project 2025 is not affiliated with the Trump campaign,"" Vance said. ""Kevin Roberts is a friend of mine, but I wouldn’t say that he speaks for the president in the same way I wouldn’t say that he speaks for me."" The Associated Press on July 30 shared an excerpt of an advance copy of Vance’s foreword that read, ""Never before has a figure with Roberts’s depth and stature within the American Right tried to articulate a genuinely new future for conservatism. The Heritage Foundation isn’t some random outpost on Capitol Hill; it is and has been the most influential engine of ideas for Republicans from Ronald Reagan to Donald Trump."" The New Republic reported July 30 that it also obtained a copy of the foreword, which it reprinted on its website. There is no mention of Project 2025 in the excerpt attributed to Vance. It contains the passage shared by the AP and goes on to liken ""modern liberalism"" to ""a well-meaning gardener"" who treats a garden with chemicals, killing both weeds and ""many of the good things."" A modern conservative movement, the excerpt said, needs to recultivate the garden: ""The old conservative movement argued if you just got government out of the way, natural forces would resolve problems—we are no longer in this situation and must take a different approach. As Kevin Roberts writes, ‘It’s fine to take a laissez-faire approach when you are in the safety of the sunshine. But when the twilight descends and you hear the wolves, you’ve got to circle the wagons and load the muskets.’"" A Harris-Walz campaign spokesperson pointed us to evidence including Vance’s July 19 X post, as well as book readings and speeches Vance has participated in at the Heritage Foundation. When we asked Vance’s team about Walz’s claim, the campaign responded with an Aug. 9 statement from spokesperson William Martin reiterating that Vance ""has previously said that he has no involvement with (Project 2025) and has plenty of disagreements with what they're calling for."" Our ruling Walz said Vance ""literally wrote the foreword for the architect of the Project 2025 agenda."" Vance wrote the forward for a book authored by Roberts, the Heritage Foundation’s president and a Project 2025 leader. We rate this claim True."
,TRUE,Byron Donalds,"""Tim Walz signed into law driver's licenses for illegal immigrants in Minnesota.""",,2024-08-06,,PolitiFact,,https://www.politifact.com/factchecks/2024/aug/09/byron-donalds/yes-tim-walz-signed-a-law-letting-immigrants-illeg/,,"U.S. Rep. Byron Donalds, R-Fla., in a Fox News interview claimed that Democrats are wrongly trying to portray Minnesota Gov. Tim Walz as a moderate. Walz, Vice President Kamala Harris’ running mate, ""is a radical progressive,"" who wants ""open borders,"" Donalds said Aug. 6. ""Tim Walz signed into law driver’s licenses for illegal immigrants in Minnesota, he wanted health care for illegal immigrants in Minnesota, this guy is incredibly left-wing,"" Donalds said. Donalds repeated his claim on X, listing things that he said represented ""The real Tim Walz."" U.S. Rep. Pete Stauber, R-Minn., and social media posts on TikTok and X repeated similar claims about Walz’s record. Sign up for PolitiFact texts On March 7, 2023, as Minnesota governor, Walz signed H.F. 4, a bill that expanded access to driver’s licenses to people in the state, regardless of their immigration status. State House and Senate Democrats broadly supported the measure, and only one House Republican supported it. This law reversed a 2003 order by former Republican Gov. Tim Pawlenty that barred the state from issuing licenses to people who were in the country illegally. Walz said in March 2023 that the bill would make roads safer and that he was a ""longtime supporter of this bill."" ""Ensuring drivers in our state are licensed and carry insurance makes the roads safer for all Minnesotans,"" Walz said. PolitiFact contacted Donalds’ office, but got no response. The Harris-Walz campaign did not comment. The Minnesota governor’s office did respond, either. About 81,000 people are living illegally in Minnesota, the Migration Policy Institute, a think tank, estimates. Minnesota’s population is about 5.7 million people. 2023 law The law took effect Oct. 1, 2023, and it lets immigrants lacking permanent legal status obtain a standard Minnesota driver’s license or identification card. To obtain a driver’s license, people must: Present two identifying documents, such as an unexpired international passport or a foreign birth certificate, a consular card or evidence of current Minnesota residency. Attest that they live in Minnesota. Pay the license or ID legal fees. Pass a written test on the rules of the road and a driving skills test. Minnesota is the most recent state to pass this type of legislation. The District of Columbia and 18 other states, including California, Colorado and New York, have also enacted laws to let people illegally in the U.S. obtain driver’s licenses. Our ruling Donalds said, ""Tim Walz signed into law driver's licenses for illegal immigrants in Minnesota."" That’s correct. Walz signed a bill in 2023 expanding access to driver’s licenses regardless of immigration status in Minnesota. Minnesota is one of 19 states that lets people illegally in the country apply for a driver’s license. We rate Donalds’ claim True. RELATED: Gov. Tim Walz signed law giving some Minnesota students, including migrants, free in-state tuition"
,TRUE,JD Vance,"Tim Walz said he carried weapons in war, but “he has not spent a day in a combat zone.”",,2024-08-07,,PolitiFact,,https://www.politifact.com/factchecks/2024/aug/12/jd-vance/walzs-2018-statement-implied-he-carried-weapons-in/,,"Republicans have been attacking Democratic vice presidential candidate Minnesota Gov. Tim Walz’s military service, something that traditionally registers as a strength for politicians. After Kamala Harris’ presidential campaign shared a 2018 video clip of Walz discussing gun control, Republicans pounced on the governor’s statement about weapons that he said he carried in war. In the clip, Walz said, ""We can make sure that those weapons of war that I carried in war is the only place where those weapons are at."" Former President Donald Trump’s running mate, Ohio Sen. J.D. Vance, who, like Walz, is a military veteran, took the governor to task for his comment at an Aug. 7 campaign stop in Shelby Township, Michigan. ""He said, and he was making a point about gun control, that ‘we shouldn’t allow weapons that I used in war to be on America’s streets.’ Well, I wonder, Tim Walz, when were you ever in war?"" Vance said. ""What was this weapon that you carried into war given that you abandoned your unit right before they went to Iraq and he has not spent a day in a combat zone."" Sign up for PolitiFact texts We rated Vance’s comment about Walz abandoning his unit Mostly False. The Iraq War was a protracted conflict that spanned 2003 to 2011. During the early years of the war, Walz, who served 24 years in the Army National Guard, eyed retirement and a political career. He submitted retirement paperwork five to seven months before retiring in May 2005 to run for Congress. As he awaited his retirement paperwork’s processing, Walz filed paperwork to run for Congress in February 2005, a month before his battalion received a March notification for a potential deployment to Iraq within two years. Walz’s battalion was officially ordered to deploy to Iraq in July 2005, two months after Walz retired. But was what Vance said about Walz not carrying weapons in combat accurate? Walz first enlisted in the Nebraska National Guard in 1981 days after he turned 17. He transferred to the Minnesota National Guard in 1996, where he served in the 1st Battalion, 125th Field Artillery until he retired in May 2005. The Associated Press reported that Walz was a field artillery cannoneer as a member of the Texas Army National Guard in 1985 when he attended the University of Houston, and that he also served as an instructor with the Arkansas Army National Guard. Walz spent months on active duty deployed overseas, but didn’t serve in Iraq or Afghanistan. He and his battalion deployed to Italy in August 2003 to support U.S. operations in Afghanistan under Operation Enduring Freedom. He returned to Minnesota in April 2004, a Minnesota National Guard spokesperson told PolitiFact. In an email, Lauren Hitt, a Harris-Walz campaign spokesperson, told PolitiFact that Walz thanked Vance for his service and ""misspoke"" in the 2018 video. ""In making the case for why weapons of war should never be on our streets or in our classrooms, the Governor misspoke,"" Hitt said. ""He did handle weapons of war and believes strongly that only military members trained to carry those deadly weapons should have access to them, unlike Donald Trump and JD Vance who prioritize the gun lobby over our children."" Luke Schroeder, a Trump-Vance campaign spokesperson, said Walz ""absolutely said this, that’s not in dispute,"" pointing to the video the Harris campaign shared on X. Schroeder also pointed to several news articles about Walz’s military service that showed he didn’t see combat duty. Minnesota Public Radio reported in 2018 that in his military career, Walz responded to weather disasters such as floods and tornadoes, and spent months deployed overseas. He specialized in heavy artillery and won ribbons for his proficiency in sharpshooting and hand grenades, the outlet wrote, citing military records. He never saw combat, Minnesota Public Radio reported. ""I know that there are certainly folks that did far more than I did. I know that,"" Walz told the news outlet. ""I willingly say that I got far more out of the military than they got out of me, from the GI Bill to leadership opportunities to everything else."" Vance served as a combat correspondent, working in public affairs for the U.S. Marine Corps from 2003 to 2007 and deployed to Iraq for six months in 2005. He did not experience combat, meaning he did not carry weapons on a battlefield. Our ruling Vance said that Walz said he carried weapons in war, but ""he has not spent a day in a combat zone."" Although Walz used weapons and trained colleagues to use them during his long military career, his 2018 statement implied that he carried weapons on a battlefield, which he did not. Walz misspoke, his campaign said. We rate Vance’s statement True. RELATED: J.D. Vance attacked Tim Walz on military record. His statement ignores the timeline"
,MOSTLY TRUE,Pete Buttigieg,Gov. Tim Walz delivered paid family leave in Minnesota but “Republicans are blocking” a Biden-Harris proposal.,,2024-08-11,,PolitiFact,,https://www.politifact.com/factchecks/2024/aug/16/pete-buttigieg/fact-checking-buttigiegs-claim-that-republicans-ar/,,
,FALSE,JD Vance,"“[Kamala Harris] has said things like, ‘it’s reasonable not to have children over climate change.’ I think that’s the exact opposite message we should be sending to our young families.”",,2024-08-11,,Washington Post,,https://www.washingtonpost.com/politics/2024/08/13/trio-silly-false-claims-that-jd-vance-makes-about-kamala-harris/,,"This is false. Vance made this comment as he tried to explain 2021 remarks that Harris was one of those “childless cat ladies who are miserable in their own lives and they want to make the rest of country miserable, too.” (Harris has two stepchildren.) To Bash, he said: “I criticized Kamala Harris for being part of a set of ideas that exists in American leadership that is anti-family. I never, Dana, criticized people for not having kids. I criticized people for being anti-child.” That’s when he offered the claim that Harris once said “it’s reasonable not to have children over climate change.” There is zero evidence that Harris said that. Instead, Vance appears to be channeling a misleading Facebook post by Donald Trump Jr."
